A new study created in memory with name: no-name-a33eba91-13aa-4f10-b8f2-744f56c4113b
Start optimization.
Trial 0 finished with value: 0.5703496914487217 and parameters: {'n_estimators': 261, 'learning_rate': 0.15318822100312696, 'max_depth': 8, 'subsample': 0.6627759251822026, 'colsample_bytree': 0.5444189522442642, 'min_child_weight': 9}. Best is trial 0 with value: 0.5703496914487217.
Trial 303 finished with value: 0.6457537466940935 and parameters: {'n_estimators': 113, 'learning_rate': 0.08183060853298767, 'max_depth': 2, 'subsample': 0.8648353090001822, 'colsample_bytree': 0.9416679677587678, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 304 finished with value: 0.6553629150749339 and parameters: {'n_estimators': 123, 'learning_rate': 0.0862785735047031, 'max_depth': 2, 'subsample': 0.7982773213201516, 'colsample_bytree': 0.8384273686794237, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 305 finished with value: 0.6384366735233618 and parameters: {'n_estimators': 91, 'learning_rate': 0.07879222708940363, 'max_depth': 2, 'subsample': 0.9460520985542608, 'colsample_bytree': 0.8170311758744284, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 306 finished with value: 0.6578019394651777 and parameters: {'n_estimators': 107, 'learning_rate': 0.09184087223058227, 'max_depth': 2, 'subsample': 0.8167837726178335, 'colsample_bytree': 0.8752016488557608, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 307 finished with value: 0.6456949750220394 and parameters: {'n_estimators': 98, 'learning_rate': 0.083949564061033, 'max_depth': 2, 'subsample': 0.8475127968851526, 'colsample_bytree': 0.650278917408506, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 308 finished with value: 0.6359388774610639 and parameters: {'n_estimators': 114, 'learning_rate': 0.23520446838530235, 'max_depth': 3, 'subsample': 0.8331541235089407, 'colsample_bytree': 0.9070646765123213, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 309 finished with value: 0.6384366735233618 and parameters: {'n_estimators': 103, 'learning_rate': 0.06207895725954611, 'max_depth': 2, 'subsample': 0.8749532583115563, 'colsample_bytree': 0.9742945809478102, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 310 finished with value: 0.5994122832794593 and parameters: {'n_estimators': 257, 'learning_rate': 0.07447348295365012, 'max_depth': 2, 'subsample': 0.36363081918138757, 'colsample_bytree': 0.9246155510125796, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 311 finished with value: 0.6213635027916544 and parameters: {'n_estimators': 118, 'learning_rate': 0.11024826845610579, 'max_depth': 2, 'subsample': 0.5679862496153947, 'colsample_bytree': 0.5902134206010399, 'min_child_weight': 2}. Best is trial 214 with value: 0.6723773141345871.
Trial 312 finished with value: 0.655421686746988 and parameters: {'n_estimators': 179, 'learning_rate': 0.08891953697842718, 'max_depth': 2, 'subsample': 0.8159816793593135, 'colsample_bytree': 0.6185042095586496, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 313 finished with value: 0.6432853364678226 and parameters: {'n_estimators': 111, 'learning_rate': 0.08102671728823578, 'max_depth': 2, 'subsample': 0.8977482699481815, 'colsample_bytree': 0.9589280204974913, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 314 finished with value: 0.6408756979136057 and parameters: {'n_estimators': 106, 'learning_rate': 0.10457952786508402, 'max_depth': 2, 'subsample': 0.6890241006638039, 'colsample_bytree': 0.888183308745794, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 315 finished with value: 0.6602115780193947 and parameters: {'n_estimators': 124, 'learning_rate': 0.07827139530422107, 'max_depth': 2, 'subsample': 0.7939960322987965, 'colsample_bytree': 0.9495504872438738, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 316 finished with value: 0.6384366735233618 and parameters: {'n_estimators': 120, 'learning_rate': 0.08569559722316711, 'max_depth': 2, 'subsample': 0.8454370389994168, 'colsample_bytree': 0.7975355272452459, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 317 finished with value: 0.6625918307375845 and parameters: {'n_estimators': 251, 'learning_rate': 0.08202705464869543, 'max_depth': 2, 'subsample': 0.8677673881577637, 'colsample_bytree': 0.9813291220162245, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 318 finished with value: 0.6504848662944461 and parameters: {'n_estimators': 99, 'learning_rate': 0.10171487376110386, 'max_depth': 2, 'subsample': 0.8275679440186493, 'colsample_bytree': 0.9265900825524926, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 319 finished with value: 0.6140758154569499 and parameters: {'n_estimators': 113, 'learning_rate': 0.09015137402267467, 'max_depth': 9, 'subsample': 0.8550384180915728, 'colsample_bytree': 0.5322011775345143, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 320 finished with value: 0.6261827799000883 and parameters: {'n_estimators': 107, 'learning_rate': 0.08461277979675809, 'max_depth': 3, 'subsample': 0.5518968297244808, 'colsample_bytree': 0.9045115422388021, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 321 finished with value: 0.6432853364678226 and parameters: {'n_estimators': 116, 'learning_rate': 0.07641754650077506, 'max_depth': 2, 'subsample': 0.7775116254135332, 'colsample_bytree': 0.862823272461499, 'min_child_weight': 2}. Best is trial 214 with value: 0.6723773141345871.
Trial 322 finished with value: 0.6385248310314429 and parameters: {'n_estimators': 93, 'learning_rate': 0.09412594677263783, 'max_depth': 2, 'subsample': 0.9364568494770531, 'colsample_bytree': 0.9396868464693525, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 323 finished with value: 0.6529532765207171 and parameters: {'n_estimators': 109, 'learning_rate': 0.17756736230407272, 'max_depth': 2, 'subsample': 0.8060079982072644, 'colsample_bytree': 0.7802593891436105, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 324 finished with value: 0.6505436379665002 and parameters: {'n_estimators': 169, 'learning_rate': 0.08760092410794755, 'max_depth': 2, 'subsample': 0.8831917499959435, 'colsample_bytree': 0.6644537011637968, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 325 finished with value: 0.6554804584190419 and parameters: {'n_estimators': 131, 'learning_rate': 0.07994717289290137, 'max_depth': 2, 'subsample': 0.8400936568417265, 'colsample_bytree': 0.6134635423460538, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 326 finished with value: 0.6530414340287981 and parameters: {'n_estimators': 102, 'learning_rate': 0.0709696336722732, 'max_depth': 2, 'subsample': 0.7619444787490568, 'colsample_bytree': 0.96937740270278, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 327 finished with value: 0.6164854540111666 and parameters: {'n_estimators': 118, 'learning_rate': 0.11269470287252657, 'max_depth': 2, 'subsample': 0.5278111642812398, 'colsample_bytree': 0.7669012411930544, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 328 finished with value: 0.631002057008522 and parameters: {'n_estimators': 88, 'learning_rate': 0.16550181768882316, 'max_depth': 2, 'subsample': 0.6718842106252528, 'colsample_bytree': 0.6353371397634885, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 329 finished with value: 0.6408169262415516 and parameters: {'n_estimators': 111, 'learning_rate': 0.09287295536225833, 'max_depth': 2, 'subsample': 0.7390522777688509, 'colsample_bytree': 0.5706558389837751, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 330 finished with value: 0.6529826623567441 and parameters: {'n_estimators': 157, 'learning_rate': 0.09903009820918225, 'max_depth': 2, 'subsample': 0.8210590184949514, 'colsample_bytree': 0.9824723649466718, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 331 finished with value: 0.6456949750220394 and parameters: {'n_estimators': 97, 'learning_rate': 0.08331131404283028, 'max_depth': 2, 'subsample': 0.8629531012933468, 'colsample_bytree': 0.9198189414763754, 'min_child_weight': 2}. Best is trial 214 with value: 0.6723773141345871.
Trial 332 finished with value: 0.6674111078460182 and parameters: {'n_estimators': 247, 'learning_rate': 0.1070143453706197, 'max_depth': 2, 'subsample': 0.8408066098144905, 'colsample_bytree': 0.698092153921498, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 333 finished with value: 0.6431677931237144 and parameters: {'n_estimators': 255, 'learning_rate': 0.10603102253965233, 'max_depth': 2, 'subsample': 0.7079076132127025, 'colsample_bytree': 0.6845429383604725, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 334 finished with value: 0.6577725536291508 and parameters: {'n_estimators': 240, 'learning_rate': 0.10979149713913988, 'max_depth': 2, 'subsample': 0.8431512171212625, 'colsample_bytree': 0.6926094442625449, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 335 finished with value: 0.652865119012636 and parameters: {'n_estimators': 269, 'learning_rate': 0.06547452875303697, 'max_depth': 3, 'subsample': 0.9094749524333111, 'colsample_bytree': 0.6990899527538691, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 336 finished with value: 0.6505142521304731 and parameters: {'n_estimators': 250, 'learning_rate': 0.05886267014257511, 'max_depth': 2, 'subsample': 0.8825607957914153, 'colsample_bytree': 0.7445559991775181, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 337 finished with value: 0.6528357331766089 and parameters: {'n_estimators': 245, 'learning_rate': 0.12380567426852443, 'max_depth': 2, 'subsample': 0.8585012513202636, 'colsample_bytree': 0.6460667792996352, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 338 finished with value: 0.65292389068469 and parameters: {'n_estimators': 230, 'learning_rate': 0.07534727182684042, 'max_depth': 2, 'subsample': 0.8327740336700671, 'colsample_bytree': 0.2390862705201483, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 339 finished with value: 0.6650308551278284 and parameters: {'n_estimators': 247, 'learning_rate': 0.07995476281735557, 'max_depth': 2, 'subsample': 0.8032151743497573, 'colsample_bytree': 0.6745679437362178, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 340 finished with value: 0.6116074052306788 and parameters: {'n_estimators': 260, 'learning_rate': 0.07891460679021503, 'max_depth': 2, 'subsample': 0.5098565584008846, 'colsample_bytree': 0.7270775352260849, 'min_child_weight': 2}. Best is trial 214 with value: 0.6723773141345871.
Trial 341 finished with value: 0.6480458419042021 and parameters: {'n_estimators': 247, 'learning_rate': 0.11257886555991778, 'max_depth': 2, 'subsample': 0.8120998476791719, 'colsample_bytree': 0.6700462944675201, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 342 finished with value: 0.6552747575668528 and parameters: {'n_estimators': 252, 'learning_rate': 0.10523169481172442, 'max_depth': 2, 'subsample': 0.9756817125485818, 'colsample_bytree': 0.6666212904337115, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 343 finished with value: 0.609256538348516 and parameters: {'n_estimators': 243, 'learning_rate': 0.08720601133511434, 'max_depth': 2, 'subsample': 0.5386763903351506, 'colsample_bytree': 0.7080855037394596, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 344 finished with value: 0.5945342344989715 and parameters: {'n_estimators': 247, 'learning_rate': 0.07366062407285058, 'max_depth': 2, 'subsample': 0.8698573949562118, 'colsample_bytree': 0.6828253546118046, 'min_child_weight': 8}. Best is trial 214 with value: 0.6723773141345871.
Trial 345 finished with value: 0.652865119012636 and parameters: {'n_estimators': 241, 'learning_rate': 0.08385918975583288, 'max_depth': 2, 'subsample': 0.7879237895899502, 'colsample_bytree': 0.9594227734032769, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 346 finished with value: 0.6529826623567441 and parameters: {'n_estimators': 240, 'learning_rate': 0.07972784996221519, 'max_depth': 2, 'subsample': 0.8498665168037771, 'colsample_bytree': 0.5977609000961107, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 347 finished with value: 0.6529532765207171 and parameters: {'n_estimators': 235, 'learning_rate': 0.07680909096326927, 'max_depth': 2, 'subsample': 0.8350866637485349, 'colsample_bytree': 0.6505548673042576, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 348 finished with value: 0.6577431677931237 and parameters: {'n_estimators': 249, 'learning_rate': 0.11702598282121307, 'max_depth': 2, 'subsample': 0.8880659688995874, 'colsample_bytree': 0.9821276783689882, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 349 finished with value: 0.6310608286805761 and parameters: {'n_estimators': 285, 'learning_rate': 0.08858256526858627, 'max_depth': 3, 'subsample': 0.8195770119368223, 'colsample_bytree': 0.7549576008325674, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 350 finished with value: 0.652894504848663 and parameters: {'n_estimators': 253, 'learning_rate': 0.10212423458625525, 'max_depth': 2, 'subsample': 0.8573383694069369, 'colsample_bytree': 0.9418338963323917, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 351 finished with value: 0.6408756979136057 and parameters: {'n_estimators': 124, 'learning_rate': 0.08213030512773128, 'max_depth': 2, 'subsample': 0.8039748361349102, 'colsample_bytree': 0.5575847012218811, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 352 finished with value: 0.6359094916250367 and parameters: {'n_estimators': 244, 'learning_rate': 0.09135877053907186, 'max_depth': 2, 'subsample': 0.640934958390213, 'colsample_bytree': 0.7054997701236956, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 353 finished with value: 0.6553629150749339 and parameters: {'n_estimators': 226, 'learning_rate': 0.1089979519976494, 'max_depth': 2, 'subsample': 0.8390659062925832, 'colsample_bytree': 0.6212300053612924, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 354 finished with value: 0.6043197178959743 and parameters: {'n_estimators': 128, 'learning_rate': 0.14113558862913686, 'max_depth': 7, 'subsample': 0.5842835148751078, 'colsample_bytree': 0.964429116967566, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 355 finished with value: 0.5970908022333237 and parameters: {'n_estimators': 236, 'learning_rate': 0.08554240989746392, 'max_depth': 2, 'subsample': 0.605895909841674, 'colsample_bytree': 0.9472240838595105, 'min_child_weight': 4}. Best is trial 214 with value: 0.6723773141345871.
Trial 356 finished with value: 0.5752277402292095 and parameters: {'n_estimators': 211, 'learning_rate': 0.07762037151854598, 'max_depth': 5, 'subsample': 0.49072294684572615, 'colsample_bytree': 0.6765645760073892, 'min_child_weight': 2}. Best is trial 214 with value: 0.6723773141345871.
Trial 357 finished with value: 0.6602409638554217 and parameters: {'n_estimators': 116, 'learning_rate': 0.09611319281372692, 'max_depth': 2, 'subsample': 0.9922391582706906, 'colsample_bytree': 0.8221608254886242, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 358 finished with value: 0.606670584778137 and parameters: {'n_estimators': 106, 'learning_rate': 0.0720275817705212, 'max_depth': 2, 'subsample': 0.21783329682254604, 'colsample_bytree': 0.7246796488094938, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 359 finished with value: 0.6407581545694976 and parameters: {'n_estimators': 249, 'learning_rate': 0.08197264950434355, 'max_depth': 3, 'subsample': 0.923112534727411, 'colsample_bytree': 0.5158227508880258, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 360 finished with value: 0.633529238906847 and parameters: {'n_estimators': 259, 'learning_rate': 0.08655555079255736, 'max_depth': 2, 'subsample': 0.8667466366025308, 'colsample_bytree': 0.9995394948950507, 'min_child_weight': 2}. Best is trial 214 with value: 0.6723773141345871.
Trial 361 finished with value: 0.6384366735233618 and parameters: {'n_estimators': 122, 'learning_rate': 0.1207050193655925, 'max_depth': 2, 'subsample': 0.9043083796635143, 'colsample_bytree': 0.970544420760089, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 362 finished with value: 0.6505436379665002 and parameters: {'n_estimators': 111, 'learning_rate': 0.1287228594796901, 'max_depth': 2, 'subsample': 0.8225033185244007, 'colsample_bytree': 0.9331213761522046, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 363 finished with value: 0.6626212165736115 and parameters: {'n_estimators': 245, 'learning_rate': 0.08039968664179954, 'max_depth': 2, 'subsample': 0.8469226187513343, 'colsample_bytree': 0.5804729558116927, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 364 finished with value: 0.6431090214516604 and parameters: {'n_estimators': 240, 'learning_rate': 0.10656979881546183, 'max_depth': 2, 'subsample': 0.7559199168540671, 'colsample_bytree': 0.795865418225454, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 365 finished with value: 0.5751983543931825 and parameters: {'n_estimators': 202, 'learning_rate': 0.11456957528640047, 'max_depth': 2, 'subsample': 0.7879904431286141, 'colsample_bytree': 0.6336299601527273, 'min_child_weight': 9}. Best is trial 214 with value: 0.6723773141345871.
Trial 366 finished with value: 0.606670584778137 and parameters: {'n_estimators': 117, 'learning_rate': 0.09126333658959379, 'max_depth': 2, 'subsample': 0.829544387772277, 'colsample_bytree': 0.837912688589514, 'min_child_weight': 6}. Best is trial 214 with value: 0.6723773141345871.
Trial 367 finished with value: 0.652865119012636 and parameters: {'n_estimators': 233, 'learning_rate': 0.15395952787044523, 'max_depth': 2, 'subsample': 0.87554233270629, 'colsample_bytree': 0.6933094236452276, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 368 finished with value: 0.6505436379665002 and parameters: {'n_estimators': 105, 'learning_rate': 0.10172437604000352, 'max_depth': 2, 'subsample': 0.8056453481379126, 'colsample_bytree': 0.9554034031674676, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 369 finished with value: 0.6309726711724949 and parameters: {'n_estimators': 111, 'learning_rate': 0.08446827289010761, 'max_depth': 6, 'subsample': 0.7324185313605516, 'colsample_bytree': 0.9839556056830191, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 370 finished with value: 0.6505142521304731 and parameters: {'n_estimators': 196, 'learning_rate': 0.07484422778443743, 'max_depth': 2, 'subsample': 0.8522364246771068, 'colsample_bytree': 0.6546052925468744, 'min_child_weight': 2}. Best is trial 214 with value: 0.6723773141345871.
Trial 371 finished with value: 0.6479870702321482 and parameters: {'n_estimators': 214, 'learning_rate': 0.09673044203154865, 'max_depth': 3, 'subsample': 0.8953240958224852, 'colsample_bytree': 0.854672001915104, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 372 finished with value: 0.6090802233323538 and parameters: {'n_estimators': 121, 'learning_rate': 0.18709803428305008, 'max_depth': 2, 'subsample': 0.39029716009013565, 'colsample_bytree': 0.8083873999835286, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 373 finished with value: 0.5823978842198061 and parameters: {'n_estimators': 101, 'learning_rate': 0.088762429045288, 'max_depth': 2, 'subsample': 0.11365245505693256, 'colsample_bytree': 0.7796660685624553, 'min_child_weight': 5}. Best is trial 214 with value: 0.6723773141345871.
Trial 374 finished with value: 0.655392300910961 and parameters: {'n_estimators': 115, 'learning_rate': 0.07795416552565754, 'max_depth': 2, 'subsample': 0.8311286024076435, 'colsample_bytree': 0.9373258852490052, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 375 finished with value: 0.6553041434028799 and parameters: {'n_estimators': 108, 'learning_rate': 0.0827125565577458, 'max_depth': 2, 'subsample': 0.7712040155455538, 'colsample_bytree': 0.6114722960886902, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 376 finished with value: 0.6504848662944461 and parameters: {'n_estimators': 251, 'learning_rate': 0.09402536268000136, 'max_depth': 2, 'subsample': 0.8747656002808513, 'colsample_bytree': 0.9642128103470649, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 377 finished with value: 0.6650602409638555 and parameters: {'n_estimators': 239, 'learning_rate': 0.051188512638307634, 'max_depth': 2, 'subsample': 0.8173184041421057, 'colsample_bytree': 0.7404018806712039, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 378 finished with value: 0.6601234205113136 and parameters: {'n_estimators': 238, 'learning_rate': 0.0654517694707008, 'max_depth': 2, 'subsample': 0.794662410989298, 'colsample_bytree': 0.7501466561880382, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 379 finished with value: 0.6651190126359096 and parameters: {'n_estimators': 228, 'learning_rate': 0.0561583275343991, 'max_depth': 2, 'subsample': 0.8137482972478661, 'colsample_bytree': 0.7410467122699304, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 380 finished with value: 0.655392300910961 and parameters: {'n_estimators': 220, 'learning_rate': 0.06696082882371633, 'max_depth': 2, 'subsample': 0.8118454483258464, 'colsample_bytree': 0.7357366556512805, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 381 finished with value: 0.6529532765207171 and parameters: {'n_estimators': 226, 'learning_rate': 0.05217536601338732, 'max_depth': 2, 'subsample': 0.7789482566232543, 'colsample_bytree': 0.7510411361942861, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 382 finished with value: 0.6626799882456657 and parameters: {'n_estimators': 232, 'learning_rate': 0.055102242316750684, 'max_depth': 2, 'subsample': 0.958923082460934, 'colsample_bytree': 0.750244237945659, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 383 finished with value: 0.6359682632970908 and parameters: {'n_estimators': 234, 'learning_rate': 0.05354642267251522, 'max_depth': 2, 'subsample': 0.9567790365774629, 'colsample_bytree': 0.7627993390937938, 'min_child_weight': 2}. Best is trial 214 with value: 0.6723773141345871.
Trial 384 finished with value: 0.6505436379665002 and parameters: {'n_estimators': 229, 'learning_rate': 0.05299469189133256, 'max_depth': 2, 'subsample': 0.9621417593577611, 'colsample_bytree': 0.7171582724405987, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 385 finished with value: 0.6577725536291508 and parameters: {'n_estimators': 228, 'learning_rate': 0.056163251937679834, 'max_depth': 2, 'subsample': 0.9291862275161956, 'colsample_bytree': 0.7328416013772853, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 386 finished with value: 0.6602115780193947 and parameters: {'n_estimators': 221, 'learning_rate': 0.051709046598414424, 'max_depth': 2, 'subsample': 0.9168325044602443, 'colsample_bytree': 0.7587833678887715, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 387 finished with value: 0.6456949750220394 and parameters: {'n_estimators': 229, 'learning_rate': 0.06263131773178965, 'max_depth': 3, 'subsample': 0.9464872494836618, 'colsample_bytree': 0.7808597191688371, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 388 finished with value: 0.6456655891860124 and parameters: {'n_estimators': 232, 'learning_rate': 0.0734557256641841, 'max_depth': 2, 'subsample': 0.9314192639224114, 'colsample_bytree': 0.7427509785165864, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 389 finished with value: 0.6262121657361153 and parameters: {'n_estimators': 237, 'learning_rate': 0.05172636827419226, 'max_depth': 2, 'subsample': 0.6607808597717366, 'colsample_bytree': 0.7260998339015373, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 390 finished with value: 0.6481046135762563 and parameters: {'n_estimators': 222, 'learning_rate': 0.056959746098929946, 'max_depth': 2, 'subsample': 0.9562989409991907, 'colsample_bytree': 0.7104556685207234, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 391 finished with value: 0.6189244784014105 and parameters: {'n_estimators': 241, 'learning_rate': 0.059786468874889705, 'max_depth': 2, 'subsample': 0.9699069658576791, 'colsample_bytree': 0.7778669359133404, 'min_child_weight': 3}. Best is trial 214 with value: 0.6723773141345871.
Trial 392 finished with value: 0.6505730238025272 and parameters: {'n_estimators': 231, 'learning_rate': 0.050837604513142114, 'max_depth': 2, 'subsample': 0.9112930003611823, 'colsample_bytree': 0.7027394149082467, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 393 finished with value: 0.6431677931237144 and parameters: {'n_estimators': 224, 'learning_rate': 0.0554400832661687, 'max_depth': 3, 'subsample': 0.7571733602886814, 'colsample_bytree': 0.758946948321872, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 394 finished with value: 0.6432853364678225 and parameters: {'n_estimators': 234, 'learning_rate': 0.06447001000867335, 'max_depth': 2, 'subsample': 0.9330921282166131, 'colsample_bytree': 0.4998484549589646, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 395 finished with value: 0.6578019394651778 and parameters: {'n_estimators': 245, 'learning_rate': 0.05573535456387327, 'max_depth': 2, 'subsample': 0.9823329844977401, 'colsample_bytree': 0.7397489900324211, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 396 finished with value: 0.6091389950044079 and parameters: {'n_estimators': 238, 'learning_rate': 0.05021735637318024, 'max_depth': 9, 'subsample': 0.7999651469606444, 'colsample_bytree': 0.6904515328034673, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 397 finished with value: 0.6262121657361153 and parameters: {'n_estimators': 242, 'learning_rate': 0.058232996542296724, 'max_depth': 2, 'subsample': 0.7007533042106698, 'colsample_bytree': 0.6749010998019418, 'min_child_weight': 2}. Best is trial 214 with value: 0.6723773141345871.
Trial 398 finished with value: 0.6626799882456655 and parameters: {'n_estimators': 226, 'learning_rate': 0.05422844565920636, 'max_depth': 2, 'subsample': 0.8879855777837153, 'colsample_bytree': 0.7141576642028269, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 399 finished with value: 0.5921833676168087 and parameters: {'n_estimators': 218, 'learning_rate': 0.05409802425027726, 'max_depth': 2, 'subsample': 0.994729857398136, 'colsample_bytree': 0.44871124345658026, 'min_child_weight': 4}. Best is trial 214 with value: 0.6723773141345871.
