A new study created in memory with name: no-name-9979e359-8e66-4d74-a292-d091b188a7d7
Start optimization.
Trial 0 finished with value: 0.5819047619047618 and parameters: {'n_estimators': 1197, 'max_depth': 1422, 'min_samples_split': 2, 'min_samples_leaf': 5, 'criterion': 'entropy'}. Best is trial 0 with value: 0.5819047619047618.
Trial 375 finished with value: 0.5917857142857141 and parameters: {'n_estimators': 1261, 'max_depth': 1449, 'min_samples_split': 11, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 376 finished with value: 0.5917857142857144 and parameters: {'n_estimators': 1213, 'max_depth': 1508, 'min_samples_split': 11, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 377 finished with value: 0.5770238095238096 and parameters: {'n_estimators': 1303, 'max_depth': 1426, 'min_samples_split': 11, 'min_samples_leaf': 2, 'criterion': 'gini'}. Best is trial 374 with value: 0.6066666666666667.
Trial 378 finished with value: 0.5717857142857143 and parameters: {'n_estimators': 1077, 'max_depth': 1516, 'min_samples_split': 10, 'min_samples_leaf': 5, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 379 finished with value: 0.5967857142857143 and parameters: {'n_estimators': 120, 'max_depth': 1450, 'min_samples_split': 9, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 380 finished with value: 0.5870238095238095 and parameters: {'n_estimators': 417, 'max_depth': 1469, 'min_samples_split': 9, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 381 finished with value: 0.5823809523809524 and parameters: {'n_estimators': 268, 'max_depth': 1558, 'min_samples_split': 9, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 382 finished with value: 0.5945238095238096 and parameters: {'n_estimators': 985, 'max_depth': 1478, 'min_samples_split': 9, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 383 finished with value: 0.5895238095238096 and parameters: {'n_estimators': 950, 'max_depth': 1463, 'min_samples_split': 8, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 384 finished with value: 0.5597619047619048 and parameters: {'n_estimators': 41, 'max_depth': 1404, 'min_samples_split': 8, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 385 finished with value: 0.5795238095238096 and parameters: {'n_estimators': 998, 'max_depth': 1503, 'min_samples_split': 9, 'min_samples_leaf': 3, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 386 finished with value: 0.5741666666666667 and parameters: {'n_estimators': 116, 'max_depth': 1436, 'min_samples_split': 9, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 387 finished with value: 0.5919047619047619 and parameters: {'n_estimators': 905, 'max_depth': 1470, 'min_samples_split': 9, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 388 finished with value: 0.5795238095238096 and parameters: {'n_estimators': 1035, 'max_depth': 1556, 'min_samples_split': 9, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 389 finished with value: 0.5746428571428572 and parameters: {'n_estimators': 975, 'max_depth': 1522, 'min_samples_split': 8, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 390 finished with value: 0.5942857142857143 and parameters: {'n_estimators': 1064, 'max_depth': 1418, 'min_samples_split': 9, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 391 finished with value: 0.57 and parameters: {'n_estimators': 1109, 'max_depth': 1472, 'min_samples_split': 9, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 392 finished with value: 0.5771428571428571 and parameters: {'n_estimators': 1012, 'max_depth': 1029, 'min_samples_split': 9, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 393 finished with value: 0.5819047619047619 and parameters: {'n_estimators': 929, 'max_depth': 1385, 'min_samples_split': 11, 'min_samples_leaf': 3, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 394 finished with value: 0.5919047619047619 and parameters: {'n_estimators': 1056, 'max_depth': 1506, 'min_samples_split': 9, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 395 finished with value: 0.5771428571428572 and parameters: {'n_estimators': 1221, 'max_depth': 1420, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 396 finished with value: 0.5895238095238096 and parameters: {'n_estimators': 1117, 'max_depth': 870, 'min_samples_split': 9, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 397 finished with value: 0.5820238095238095 and parameters: {'n_estimators': 985, 'max_depth': 906, 'min_samples_split': 11, 'min_samples_leaf': 2, 'criterion': 'gini'}. Best is trial 374 with value: 0.6066666666666667.
Trial 398 finished with value: 0.5823809523809524 and parameters: {'n_estimators': 1172, 'max_depth': 983, 'min_samples_split': 8, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 399 finished with value: 0.5844047619047619 and parameters: {'n_estimators': 1090, 'max_depth': 1450, 'min_samples_split': 11, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 400 finished with value: 0.601547619047619 and parameters: {'n_estimators': 1022, 'max_depth': 1485, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 401 finished with value: 0.5945238095238097 and parameters: {'n_estimators': 1690, 'max_depth': 1566, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 402 finished with value: 0.5746428571428572 and parameters: {'n_estimators': 1376, 'max_depth': 1567, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 403 finished with value: 0.5695238095238095 and parameters: {'n_estimators': 1040, 'max_depth': 1611, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 404 finished with value: 0.6019047619047619 and parameters: {'n_estimators': 1692, 'max_depth': 1529, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 405 finished with value: 0.591904761904762 and parameters: {'n_estimators': 1764, 'max_depth': 1548, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 406 finished with value: 0.5969047619047619 and parameters: {'n_estimators': 1280, 'max_depth': 1643, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 407 finished with value: 0.584404761904762 and parameters: {'n_estimators': 1317, 'max_depth': 1595, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 408 finished with value: 0.579404761904762 and parameters: {'n_estimators': 1608, 'max_depth': 1518, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 409 finished with value: 0.5845238095238094 and parameters: {'n_estimators': 1674, 'max_depth': 1633, 'min_samples_split': 9, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 410 finished with value: 0.5945238095238096 and parameters: {'n_estimators': 1259, 'max_depth': 1542, 'min_samples_split': 9, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 411 finished with value: 0.5796428571428571 and parameters: {'n_estimators': 1715, 'max_depth': 1579, 'min_samples_split': 9, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 412 finished with value: 0.5772619047619048 and parameters: {'n_estimators': 1280, 'max_depth': 1548, 'min_samples_split': 9, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 413 finished with value: 0.5945238095238096 and parameters: {'n_estimators': 1253, 'max_depth': 1504, 'min_samples_split': 9, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 414 finished with value: 0.5892857142857142 and parameters: {'n_estimators': 1325, 'max_depth': 1644, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 415 finished with value: 0.5845238095238094 and parameters: {'n_estimators': 1206, 'max_depth': 1542, 'min_samples_split': 9, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 416 finished with value: 0.5967857142857143 and parameters: {'n_estimators': 1287, 'max_depth': 1493, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 417 finished with value: 0.5871428571428571 and parameters: {'n_estimators': 1355, 'max_depth': 1486, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 418 finished with value: 0.5967857142857143 and parameters: {'n_estimators': 1215, 'max_depth': 1484, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 419 finished with value: 0.5844047619047619 and parameters: {'n_estimators': 1288, 'max_depth': 1573, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'gini'}. Best is trial 374 with value: 0.6066666666666667.
Trial 420 finished with value: 0.5945238095238096 and parameters: {'n_estimators': 1219, 'max_depth': 1505, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 421 finished with value: 0.589404761904762 and parameters: {'n_estimators': 1239, 'max_depth': 1460, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 422 finished with value: 0.584642857142857 and parameters: {'n_estimators': 1667, 'max_depth': 1586, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 423 finished with value: 0.5969047619047619 and parameters: {'n_estimators': 1176, 'max_depth': 1443, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 424 finished with value: 0.5770238095238096 and parameters: {'n_estimators': 1189, 'max_depth': 1438, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 425 finished with value: 0.5870238095238095 and parameters: {'n_estimators': 1284, 'max_depth': 1445, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 426 finished with value: 0.5892857142857143 and parameters: {'n_estimators': 1161, 'max_depth': 1523, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 427 finished with value: 0.5967857142857143 and parameters: {'n_estimators': 1211, 'max_depth': 1633, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 428 finished with value: 0.5971428571428572 and parameters: {'n_estimators': 1232, 'max_depth': 1629, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 429 finished with value: 0.5870238095238095 and parameters: {'n_estimators': 1259, 'max_depth': 1675, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 430 finished with value: 0.5869047619047619 and parameters: {'n_estimators': 1235, 'max_depth': 1661, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 431 finished with value: 0.5822619047619048 and parameters: {'n_estimators': 1318, 'max_depth': 1665, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 432 finished with value: 0.5898809523809524 and parameters: {'n_estimators': 1191, 'max_depth': 1635, 'min_samples_split': 11, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 433 finished with value: 0.5797619047619048 and parameters: {'n_estimators': 1216, 'max_depth': 1623, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 434 finished with value: 0.5917857142857144 and parameters: {'n_estimators': 1284, 'max_depth': 1606, 'min_samples_split': 11, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 435 finished with value: 0.5821428571428571 and parameters: {'n_estimators': 1166, 'max_depth': 1409, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 436 finished with value: 0.5895238095238096 and parameters: {'n_estimators': 1354, 'max_depth': 1472, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 437 finished with value: 0.5796428571428571 and parameters: {'n_estimators': 1221, 'max_depth': 1386, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 438 finished with value: 0.5721428571428573 and parameters: {'n_estimators': 1186, 'max_depth': 787, 'min_samples_split': 11, 'min_samples_leaf': 2, 'criterion': 'gini'}. Best is trial 374 with value: 0.6066666666666667.
Trial 439 finished with value: 0.5845238095238096 and parameters: {'n_estimators': 1142, 'max_depth': 941, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 440 finished with value: 0.5872619047619048 and parameters: {'n_estimators': 1276, 'max_depth': 1601, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 441 finished with value: 0.5919047619047618 and parameters: {'n_estimators': 1236, 'max_depth': 1515, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 442 finished with value: 0.5842857142857143 and parameters: {'n_estimators': 1140, 'max_depth': 1432, 'min_samples_split': 11, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 443 finished with value: 0.5820238095238095 and parameters: {'n_estimators': 1401, 'max_depth': 1483, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 444 finished with value: 0.5871428571428573 and parameters: {'n_estimators': 1176, 'max_depth': 1533, 'min_samples_split': 9, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 445 finished with value: 0.5895238095238096 and parameters: {'n_estimators': 1201, 'max_depth': 1403, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 446 finished with value: 0.586904761904762 and parameters: {'n_estimators': 1311, 'max_depth': 1460, 'min_samples_split': 9, 'min_samples_leaf': 3, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 447 finished with value: 0.5766666666666667 and parameters: {'n_estimators': 1115, 'max_depth': 1640, 'min_samples_split': 10, 'min_samples_leaf': 7, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 448 finished with value: 0.5917857142857144 and parameters: {'n_estimators': 1263, 'max_depth': 1575, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 449 finished with value: 0.581904761904762 and parameters: {'n_estimators': 1139, 'max_depth': 1494, 'min_samples_split': 11, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 450 finished with value: 0.5845238095238096 and parameters: {'n_estimators': 1232, 'max_depth': 1438, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 451 finished with value: 0.5945238095238097 and parameters: {'n_estimators': 1097, 'max_depth': 1543, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 452 finished with value: 0.5796428571428571 and parameters: {'n_estimators': 1187, 'max_depth': 1345, 'min_samples_split': 6, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 453 finished with value: 0.5895238095238096 and parameters: {'n_estimators': 1155, 'max_depth': 1395, 'min_samples_split': 9, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 454 finished with value: 0.5795238095238096 and parameters: {'n_estimators': 1078, 'max_depth': 1490, 'min_samples_split': 11, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 455 finished with value: 0.5821428571428571 and parameters: {'n_estimators': 1324, 'max_depth': 975, 'min_samples_split': 9, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 456 finished with value: 0.5891666666666666 and parameters: {'n_estimators': 1215, 'max_depth': 1605, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 457 finished with value: 0.5870238095238095 and parameters: {'n_estimators': 1134, 'max_depth': 1446, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 458 finished with value: 0.574404761904762 and parameters: {'n_estimators': 1256, 'max_depth': 846, 'min_samples_split': 11, 'min_samples_leaf': 2, 'criterion': 'gini'}. Best is trial 374 with value: 0.6066666666666667.
Trial 459 finished with value: 0.5869047619047619 and parameters: {'n_estimators': 1073, 'max_depth': 1519, 'min_samples_split': 10, 'min_samples_leaf': 3, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 460 finished with value: 0.5846428571428571 and parameters: {'n_estimators': 1193, 'max_depth': 909, 'min_samples_split': 9, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 461 finished with value: 0.5796428571428572 and parameters: {'n_estimators': 1116, 'max_depth': 1568, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 462 finished with value: 0.5821428571428571 and parameters: {'n_estimators': 1280, 'max_depth': 1380, 'min_samples_split': 9, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 463 finished with value: 0.5820238095238095 and parameters: {'n_estimators': 1163, 'max_depth': 1459, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 464 finished with value: 0.5865476190476191 and parameters: {'n_estimators': 1040, 'max_depth': 1418, 'min_samples_split': 11, 'min_samples_leaf': 6, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 465 finished with value: 0.5695238095238095 and parameters: {'n_estimators': 105, 'max_depth': 1048, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 466 finished with value: 0.5870238095238095 and parameters: {'n_estimators': 1361, 'max_depth': 1529, 'min_samples_split': 9, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 467 finished with value: 0.5891666666666666 and parameters: {'n_estimators': 1235, 'max_depth': 1661, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 468 finished with value: 0.571547619047619 and parameters: {'n_estimators': 1089, 'max_depth': 1483, 'min_samples_split': 10, 'min_samples_leaf': 8, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 469 finished with value: 0.5773809523809523 and parameters: {'n_estimators': 1132, 'max_depth': 1359, 'min_samples_split': 9, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 470 finished with value: 0.5920238095238095 and parameters: {'n_estimators': 1422, 'max_depth': 1564, 'min_samples_split': 11, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 471 finished with value: 0.5746428571428572 and parameters: {'n_estimators': 1195, 'max_depth': 1612, 'min_samples_split': 8, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 472 finished with value: 0.5846428571428571 and parameters: {'n_estimators': 1314, 'max_depth': 1477, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 473 finished with value: 0.5869047619047618 and parameters: {'n_estimators': 1060, 'max_depth': 1447, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 474 finished with value: 0.579404761904762 and parameters: {'n_estimators': 1161, 'max_depth': 1407, 'min_samples_split': 11, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 475 finished with value: 0.5798809523809523 and parameters: {'n_estimators': 1570, 'max_depth': 1535, 'min_samples_split': 9, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 476 finished with value: 0.5942857142857144 and parameters: {'n_estimators': 1239, 'max_depth': 1507, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 477 finished with value: 0.5867857142857144 and parameters: {'n_estimators': 1109, 'max_depth': 963, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'gini'}. Best is trial 374 with value: 0.6066666666666667.
Trial 478 finished with value: 0.5795238095238094 and parameters: {'n_estimators': 1195, 'max_depth': 1419, 'min_samples_split': 9, 'min_samples_leaf': 3, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 479 finished with value: 0.5791666666666667 and parameters: {'n_estimators': 1041, 'max_depth': 1013, 'min_samples_split': 10, 'min_samples_leaf': 3, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 480 finished with value: 0.5917857142857142 and parameters: {'n_estimators': 1155, 'max_depth': 1589, 'min_samples_split': 11, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 481 finished with value: 0.5795238095238096 and parameters: {'n_estimators': 1288, 'max_depth': 1466, 'min_samples_split': 9, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 482 finished with value: 0.5822619047619049 and parameters: {'n_estimators': 1080, 'max_depth': 1364, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 483 finished with value: 0.5869047619047619 and parameters: {'n_estimators': 1232, 'max_depth': 1648, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 484 finished with value: 0.5845238095238096 and parameters: {'n_estimators': 1106, 'max_depth': 1508, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 485 finished with value: 0.5819047619047619 and parameters: {'n_estimators': 1023, 'max_depth': 1555, 'min_samples_split': 11, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 486 finished with value: 0.5748809523809524 and parameters: {'n_estimators': 1350, 'max_depth': 1325, 'min_samples_split': 9, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 487 finished with value: 0.5845238095238094 and parameters: {'n_estimators': 1191, 'max_depth': 1446, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 488 finished with value: 0.5921428571428572 and parameters: {'n_estimators': 1145, 'max_depth': 935, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 489 finished with value: 0.5895238095238095 and parameters: {'n_estimators': 1251, 'max_depth': 1484, 'min_samples_split': 8, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 490 finished with value: 0.5820238095238096 and parameters: {'n_estimators': 1303, 'max_depth': 1396, 'min_samples_split': 9, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 491 finished with value: 0.5917857142857142 and parameters: {'n_estimators': 1120, 'max_depth': 1626, 'min_samples_split': 11, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 492 finished with value: 0.5845238095238094 and parameters: {'n_estimators': 1210, 'max_depth': 1525, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 493 finished with value: 0.5747619047619048 and parameters: {'n_estimators': 1058, 'max_depth': 1432, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 494 finished with value: 0.5797619047619047 and parameters: {'n_estimators': 1172, 'max_depth': 1480, 'min_samples_split': 9, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 495 finished with value: 0.579404761904762 and parameters: {'n_estimators': 1380, 'max_depth': 1568, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 496 finished with value: 0.5842857142857143 and parameters: {'n_estimators': 1267, 'max_depth': 888, 'min_samples_split': 11, 'min_samples_leaf': 2, 'criterion': 'gini'}. Best is trial 374 with value: 0.6066666666666667.
Trial 497 finished with value: 0.5845238095238094 and parameters: {'n_estimators': 1092, 'max_depth': 1420, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 498 finished with value: 0.596547619047619 and parameters: {'n_estimators': 1137, 'max_depth': 1679, 'min_samples_split': 9, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
Trial 499 finished with value: 0.5820238095238095 and parameters: {'n_estimators': 1000, 'max_depth': 1517, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
