A new study created in memory with name: no-name-17abffd7-4634-4ab1-a48d-2142b1ad262a
Start optimization.
Trial 0 finished with value: 0.5869047619047618 and parameters: {'n_estimators': 203, 'criterion': 'gini', 'max_features': 362, 'min_samples_split': 7, 'min_samples_leaf': 7}. Best is trial 0 with value: 0.5869047619047618.
Trial 384 finished with value: 0.5742857142857143 and parameters: {'n_estimators': 307, 'criterion': 'gini', 'max_features': 161, 'min_samples_split': 9, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 385 finished with value: 0.589047619047619 and parameters: {'n_estimators': 385, 'criterion': 'entropy', 'max_features': 94, 'min_samples_split': 18, 'min_samples_leaf': 5}. Best is trial 13 with value: 0.6138095238095238.
Trial 386 finished with value: 0.5915476190476191 and parameters: {'n_estimators': 229, 'criterion': 'log_loss', 'max_features': 337, 'min_samples_split': 11, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 387 finished with value: 0.5867857142857144 and parameters: {'n_estimators': 419, 'criterion': 'log_loss', 'max_features': 209, 'min_samples_split': 23, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 388 finished with value: 0.5820238095238095 and parameters: {'n_estimators': 119, 'criterion': 'log_loss', 'max_features': 275, 'min_samples_split': 8, 'min_samples_leaf': 6}. Best is trial 13 with value: 0.6138095238095238.
Trial 389 finished with value: 0.5891666666666666 and parameters: {'n_estimators': 476, 'criterion': 'log_loss', 'max_features': 61, 'min_samples_split': 30, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 390 finished with value: 0.5665476190476191 and parameters: {'n_estimators': 351, 'criterion': 'entropy', 'max_features': 148, 'min_samples_split': 99, 'min_samples_leaf': 2}. Best is trial 13 with value: 0.6138095238095238.
Trial 391 finished with value: 0.5796428571428571 and parameters: {'n_estimators': 316, 'criterion': 'log_loss', 'max_features': 56, 'min_samples_split': 17, 'min_samples_leaf': 3}. Best is trial 13 with value: 0.6138095238095238.
Trial 392 finished with value: 0.5941666666666666 and parameters: {'n_estimators': 450, 'criterion': 'log_loss', 'max_features': 99, 'min_samples_split': 12, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 393 finished with value: 0.5966666666666666 and parameters: {'n_estimators': 151, 'criterion': 'log_loss', 'max_features': 352, 'min_samples_split': 42, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 394 finished with value: 0.5889285714285715 and parameters: {'n_estimators': 398, 'criterion': 'log_loss', 'max_features': 68, 'min_samples_split': 33, 'min_samples_leaf': 5}. Best is trial 13 with value: 0.6138095238095238.
Trial 395 finished with value: 0.5992857142857142 and parameters: {'n_estimators': 186, 'criterion': 'entropy', 'max_features': 84, 'min_samples_split': 20, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 396 finished with value: 0.591547619047619 and parameters: {'n_estimators': 247, 'criterion': 'log_loss', 'max_features': 256, 'min_samples_split': 16, 'min_samples_leaf': 10}. Best is trial 13 with value: 0.6138095238095238.
Trial 397 finished with value: 0.5888095238095238 and parameters: {'n_estimators': 217, 'criterion': 'log_loss', 'max_features': 227, 'min_samples_split': 28, 'min_samples_leaf': 8}. Best is trial 13 with value: 0.6138095238095238.
Trial 398 finished with value: 0.5692857142857142 and parameters: {'n_estimators': 260, 'criterion': 'log_loss', 'max_features': 196, 'min_samples_split': 43, 'min_samples_leaf': 10}. Best is trial 13 with value: 0.6138095238095238.
Trial 399 finished with value: 0.5940476190476189 and parameters: {'n_estimators': 286, 'criterion': 'log_loss', 'max_features': 430, 'min_samples_split': 19, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 400 finished with value: 0.5940476190476189 and parameters: {'n_estimators': 200, 'criterion': 'entropy', 'max_features': 163, 'min_samples_split': 15, 'min_samples_leaf': 2}. Best is trial 13 with value: 0.6138095238095238.
Trial 401 finished with value: 0.5914285714285714 and parameters: {'n_estimators': 436, 'criterion': 'log_loss', 'max_features': 290, 'min_samples_split': 25, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 402 finished with value: 0.5816666666666667 and parameters: {'n_estimators': 275, 'criterion': 'log_loss', 'max_features': 76, 'min_samples_split': 22, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 403 finished with value: 0.5816666666666668 and parameters: {'n_estimators': 381, 'criterion': 'gini', 'max_features': 137, 'min_samples_split': 49, 'min_samples_leaf': 3}. Best is trial 13 with value: 0.6138095238095238.
Trial 404 finished with value: 0.5939285714285714 and parameters: {'n_estimators': 414, 'criterion': 'log_loss', 'max_features': 176, 'min_samples_split': 13, 'min_samples_leaf': 5}. Best is trial 13 with value: 0.6138095238095238.
Trial 405 finished with value: 0.5964285714285714 and parameters: {'n_estimators': 225, 'criterion': 'log_loss', 'max_features': 89, 'min_samples_split': 17, 'min_samples_leaf': 6}. Best is trial 13 with value: 0.6138095238095238.
Trial 406 finished with value: 0.5819047619047619 and parameters: {'n_estimators': 175, 'criterion': 'log_loss', 'max_features': 107, 'min_samples_split': 29, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 407 finished with value: 0.5842857142857143 and parameters: {'n_estimators': 210, 'criterion': 'entropy', 'max_features': 71, 'min_samples_split': 34, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 408 finished with value: 0.5867857142857142 and parameters: {'n_estimators': 300, 'criterion': 'log_loss', 'max_features': 315, 'min_samples_split': 14, 'min_samples_leaf': 2}. Best is trial 13 with value: 0.6138095238095238.
Trial 409 finished with value: 0.5911904761904762 and parameters: {'n_estimators': 193, 'criterion': 'log_loss', 'max_features': 53, 'min_samples_split': 16, 'min_samples_leaf': 3}. Best is trial 13 with value: 0.6138095238095238.
Trial 410 finished with value: 0.579047619047619 and parameters: {'n_estimators': 133, 'criterion': 'log_loss', 'max_features': 129, 'min_samples_split': 18, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 411 finished with value: 0.5841666666666667 and parameters: {'n_estimators': 457, 'criterion': 'log_loss', 'max_features': 81, 'min_samples_split': 12, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 412 finished with value: 0.6016666666666667 and parameters: {'n_estimators': 324, 'criterion': 'entropy', 'max_features': 211, 'min_samples_split': 5, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 413 finished with value: 0.5891666666666666 and parameters: {'n_estimators': 298, 'criterion': 'entropy', 'max_features': 215, 'min_samples_split': 5, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 414 finished with value: 0.584047619047619 and parameters: {'n_estimators': 322, 'criterion': 'entropy', 'max_features': 204, 'min_samples_split': 6, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 415 finished with value: 0.601190476190476 and parameters: {'n_estimators': 337, 'criterion': 'entropy', 'max_features': 188, 'min_samples_split': 5, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 416 finished with value: 0.581547619047619 and parameters: {'n_estimators': 368, 'criterion': 'entropy', 'max_features': 226, 'min_samples_split': 7, 'min_samples_leaf': 8}. Best is trial 13 with value: 0.6138095238095238.
Trial 417 finished with value: 0.5817857142857144 and parameters: {'n_estimators': 357, 'criterion': 'entropy', 'max_features': 244, 'min_samples_split': 10, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 418 finished with value: 0.5888095238095238 and parameters: {'n_estimators': 307, 'criterion': 'entropy', 'max_features': 202, 'min_samples_split': 26, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 419 finished with value: 0.5963095238095237 and parameters: {'n_estimators': 292, 'criterion': 'entropy', 'max_features': 96, 'min_samples_split': 32, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 420 finished with value: 0.591190476190476 and parameters: {'n_estimators': 203, 'criterion': 'entropy', 'max_features': 102, 'min_samples_split': 23, 'min_samples_leaf': 9}. Best is trial 13 with value: 0.6138095238095238.
Trial 421 finished with value: 0.5941666666666666 and parameters: {'n_estimators': 484, 'criterion': 'entropy', 'max_features': 151, 'min_samples_split': 11, 'min_samples_leaf': 5}. Best is trial 13 with value: 0.6138095238095238.
Trial 422 finished with value: 0.5941666666666666 and parameters: {'n_estimators': 388, 'criterion': 'entropy', 'max_features': 233, 'min_samples_split': 6, 'min_samples_leaf': 2}. Best is trial 13 with value: 0.6138095238095238.
Trial 423 finished with value: 0.5791666666666666 and parameters: {'n_estimators': 281, 'criterion': 'log_loss', 'max_features': 213, 'min_samples_split': 9, 'min_samples_leaf': 8}. Best is trial 13 with value: 0.6138095238095238.
Trial 424 finished with value: 0.5970238095238095 and parameters: {'n_estimators': 101, 'criterion': 'log_loss', 'max_features': 183, 'min_samples_split': 37, 'min_samples_leaf': 7}. Best is trial 13 with value: 0.6138095238095238.
Trial 425 finished with value: 0.5894047619047619 and parameters: {'n_estimators': 221, 'criterion': 'gini', 'max_features': 63, 'min_samples_split': 5, 'min_samples_leaf': 3}. Best is trial 13 with value: 0.6138095238095238.
Trial 426 finished with value: 0.5816666666666667 and parameters: {'n_estimators': 237, 'criterion': 'log_loss', 'max_features': 266, 'min_samples_split': 8, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 427 finished with value: 0.5920238095238094 and parameters: {'n_estimators': 396, 'criterion': 'entropy', 'max_features': 169, 'min_samples_split': 7, 'min_samples_leaf': 5}. Best is trial 13 with value: 0.6138095238095238.
Trial 428 finished with value: 0.5989285714285713 and parameters: {'n_estimators': 339, 'criterion': 'log_loss', 'max_features': 92, 'min_samples_split': 29, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 429 finished with value: 0.5966666666666666 and parameters: {'n_estimators': 330, 'criterion': 'log_loss', 'max_features': 77, 'min_samples_split': 35, 'min_samples_leaf': 2}. Best is trial 13 with value: 0.6138095238095238.
Trial 430 finished with value: 0.5664285714285713 and parameters: {'n_estimators': 211, 'criterion': 'log_loss', 'max_features': 67, 'min_samples_split': 56, 'min_samples_leaf': 10}. Best is trial 13 with value: 0.6138095238095238.
Trial 431 finished with value: 0.5914285714285715 and parameters: {'n_estimators': 197, 'criterion': 'entropy', 'max_features': 144, 'min_samples_split': 21, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 432 finished with value: 0.5914285714285714 and parameters: {'n_estimators': 311, 'criterion': 'log_loss', 'max_features': 252, 'min_samples_split': 25, 'min_samples_leaf': 3}. Best is trial 13 with value: 0.6138095238095238.
Trial 433 finished with value: 0.5940476190476189 and parameters: {'n_estimators': 405, 'criterion': 'log_loss', 'max_features': 58, 'min_samples_split': 13, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 434 finished with value: 0.601190476190476 and parameters: {'n_estimators': 268, 'criterion': 'log_loss', 'max_features': 188, 'min_samples_split': 31, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 435 finished with value: 0.5821428571428571 and parameters: {'n_estimators': 206, 'criterion': 'log_loss', 'max_features': 110, 'min_samples_split': 12, 'min_samples_leaf': 5}. Best is trial 13 with value: 0.6138095238095238.
Trial 436 finished with value: 0.599047619047619 and parameters: {'n_estimators': 364, 'criterion': 'entropy', 'max_features': 87, 'min_samples_split': 4, 'min_samples_leaf': 2}. Best is trial 13 with value: 0.6138095238095238.
Trial 437 finished with value: 0.5867857142857142 and parameters: {'n_estimators': 219, 'criterion': 'log_loss', 'max_features': 157, 'min_samples_split': 39, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 438 finished with value: 0.5940476190476189 and parameters: {'n_estimators': 373, 'criterion': 'log_loss', 'max_features': 135, 'min_samples_split': 20, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 439 finished with value: 0.5640476190476191 and parameters: {'n_estimators': 233, 'criterion': 'log_loss', 'max_features': 73, 'min_samples_split': 80, 'min_samples_leaf': 7}. Best is trial 13 with value: 0.6138095238095238.
Trial 440 finished with value: 0.6089285714285714 and parameters: {'n_estimators': 289, 'criterion': 'log_loss', 'max_features': 221, 'min_samples_split': 27, 'min_samples_leaf': 3}. Best is trial 13 with value: 0.6138095238095238.
Trial 441 finished with value: 0.6064285714285713 and parameters: {'n_estimators': 250, 'criterion': 'log_loss', 'max_features': 244, 'min_samples_split': 27, 'min_samples_leaf': 3}. Best is trial 13 with value: 0.6138095238095238.
Trial 442 finished with value: 0.5866666666666667 and parameters: {'n_estimators': 280, 'criterion': 'log_loss', 'max_features': 241, 'min_samples_split': 26, 'min_samples_leaf': 3}. Best is trial 13 with value: 0.6138095238095238.
Trial 443 finished with value: 0.5940476190476189 and parameters: {'n_estimators': 287, 'criterion': 'log_loss', 'max_features': 265, 'min_samples_split': 29, 'min_samples_leaf': 3}. Best is trial 13 with value: 0.6138095238095238.
Trial 444 finished with value: 0.5965476190476189 and parameters: {'n_estimators': 253, 'criterion': 'log_loss', 'max_features': 219, 'min_samples_split': 27, 'min_samples_leaf': 3}. Best is trial 13 with value: 0.6138095238095238.
Trial 445 finished with value: 0.5889285714285714 and parameters: {'n_estimators': 264, 'criterion': 'log_loss', 'max_features': 237, 'min_samples_split': 24, 'min_samples_leaf': 3}. Best is trial 13 with value: 0.6138095238095238.
Trial 446 finished with value: 0.5941666666666665 and parameters: {'n_estimators': 464, 'criterion': 'log_loss', 'max_features': 283, 'min_samples_split': 27, 'min_samples_leaf': 3}. Best is trial 13 with value: 0.6138095238095238.
Trial 447 finished with value: 0.5941666666666665 and parameters: {'n_estimators': 251, 'criterion': 'log_loss', 'max_features': 254, 'min_samples_split': 30, 'min_samples_leaf': 3}. Best is trial 13 with value: 0.6138095238095238.
Trial 448 finished with value: 0.5967857142857141 and parameters: {'n_estimators': 246, 'criterion': 'log_loss', 'max_features': 228, 'min_samples_split': 23, 'min_samples_leaf': 3}. Best is trial 13 with value: 0.6138095238095238.
Trial 449 finished with value: 0.589047619047619 and parameters: {'n_estimators': 185, 'criterion': 'log_loss', 'max_features': 116, 'min_samples_split': 33, 'min_samples_leaf': 3}. Best is trial 13 with value: 0.6138095238095238.
Trial 450 finished with value: 0.6038095238095239 and parameters: {'n_estimators': 272, 'criterion': 'log_loss', 'max_features': 200, 'min_samples_split': 24, 'min_samples_leaf': 3}. Best is trial 13 with value: 0.6138095238095238.
Trial 451 finished with value: 0.5965476190476191 and parameters: {'n_estimators': 277, 'criterion': 'log_loss', 'max_features': 198, 'min_samples_split': 28, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 452 finished with value: 0.5841666666666666 and parameters: {'n_estimators': 261, 'criterion': 'log_loss', 'max_features': 127, 'min_samples_split': 25, 'min_samples_leaf': 3}. Best is trial 13 with value: 0.6138095238095238.
Trial 453 finished with value: 0.5914285714285714 and parameters: {'n_estimators': 196, 'criterion': 'log_loss', 'max_features': 201, 'min_samples_split': 31, 'min_samples_leaf': 6}. Best is trial 13 with value: 0.6138095238095238.
Trial 454 finished with value: 0.5791666666666666 and parameters: {'n_estimators': 446, 'criterion': 'log_loss', 'max_features': 171, 'min_samples_split': 2, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 455 finished with value: 0.5819047619047619 and parameters: {'n_estimators': 273, 'criterion': 'log_loss', 'max_features': 224, 'min_samples_split': 26, 'min_samples_leaf': 3}. Best is trial 13 with value: 0.6138095238095238.
Trial 456 finished with value: 0.579404761904762 and parameters: {'n_estimators': 164, 'criterion': 'log_loss', 'max_features': 180, 'min_samples_split': 35, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 457 finished with value: 0.5889285714285714 and parameters: {'n_estimators': 271, 'criterion': 'log_loss', 'max_features': 244, 'min_samples_split': 23, 'min_samples_leaf': 10}. Best is trial 13 with value: 0.6138095238095238.
Trial 458 finished with value: 0.5891666666666666 and parameters: {'n_estimators': 483, 'criterion': 'gini', 'max_features': 194, 'min_samples_split': 27, 'min_samples_leaf': 5}. Best is trial 13 with value: 0.6138095238095238.
Trial 459 finished with value: 0.6011904761904763 and parameters: {'n_estimators': 289, 'criterion': 'log_loss', 'max_features': 214, 'min_samples_split': 32, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 460 finished with value: 0.5888095238095239 and parameters: {'n_estimators': 420, 'criterion': 'log_loss', 'max_features': 271, 'min_samples_split': 24, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 461 finished with value: 0.5815476190476191 and parameters: {'n_estimators': 259, 'criterion': 'log_loss', 'max_features': 141, 'min_samples_split': 30, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 462 finished with value: 0.5866666666666667 and parameters: {'n_estimators': 500, 'criterion': 'log_loss', 'max_features': 103, 'min_samples_split': 19, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 463 finished with value: 0.5864285714285714 and parameters: {'n_estimators': 298, 'criterion': 'log_loss', 'max_features': 161, 'min_samples_split': 38, 'min_samples_leaf': 3}. Best is trial 13 with value: 0.6138095238095238.
Trial 464 finished with value: 0.5938095238095238 and parameters: {'n_estimators': 201, 'criterion': 'log_loss', 'max_features': 80, 'min_samples_split': 15, 'min_samples_leaf': 9}. Best is trial 13 with value: 0.6138095238095238.
Trial 465 finished with value: 0.5841666666666667 and parameters: {'n_estimators': 215, 'criterion': 'log_loss', 'max_features': 112, 'min_samples_split': 28, 'min_samples_leaf': 5}. Best is trial 13 with value: 0.6138095238095238.
Trial 466 finished with value: 0.5917857142857141 and parameters: {'n_estimators': 473, 'criterion': 'log_loss', 'max_features': 69, 'min_samples_split': 21, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 467 finished with value: 0.5941666666666665 and parameters: {'n_estimators': 433, 'criterion': 'log_loss', 'max_features': 395, 'min_samples_split': 18, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 468 finished with value: 0.5891666666666666 and parameters: {'n_estimators': 206, 'criterion': 'log_loss', 'max_features': 283, 'min_samples_split': 35, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 469 finished with value: 0.5892857142857142 and parameters: {'n_estimators': 284, 'criterion': 'log_loss', 'max_features': 153, 'min_samples_split': 10, 'min_samples_leaf': 7}. Best is trial 13 with value: 0.6138095238095238.
Trial 470 finished with value: 0.5866666666666666 and parameters: {'n_estimators': 192, 'criterion': 'log_loss', 'max_features': 129, 'min_samples_split': 22, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 471 finished with value: 0.6014285714285714 and parameters: {'n_estimators': 254, 'criterion': 'log_loss', 'max_features': 298, 'min_samples_split': 14, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 472 finished with value: 0.5819047619047618 and parameters: {'n_estimators': 243, 'criterion': 'log_loss', 'max_features': 119, 'min_samples_split': 11, 'min_samples_leaf': 3}. Best is trial 13 with value: 0.6138095238095238.
Trial 473 finished with value: 0.5866666666666667 and parameters: {'n_estimators': 170, 'criterion': 'log_loss', 'max_features': 64, 'min_samples_split': 16, 'min_samples_leaf': 6}. Best is trial 13 with value: 0.6138095238095238.
Trial 474 finished with value: 0.5767857142857143 and parameters: {'n_estimators': 185, 'criterion': 'gini', 'max_features': 182, 'min_samples_split': 43, 'min_samples_leaf': 6}. Best is trial 13 with value: 0.6138095238095238.
Trial 475 finished with value: 0.5766666666666667 and parameters: {'n_estimators': 451, 'criterion': 'log_loss', 'max_features': 206, 'min_samples_split': 63, 'min_samples_leaf': 8}. Best is trial 13 with value: 0.6138095238095238.
Trial 476 finished with value: 0.5840476190476189 and parameters: {'n_estimators': 113, 'criterion': 'log_loss', 'max_features': 758, 'min_samples_split': 25, 'min_samples_leaf': 3}. Best is trial 13 with value: 0.6138095238095238.
Trial 477 finished with value: 0.5816666666666666 and parameters: {'n_estimators': 410, 'criterion': 'log_loss', 'max_features': 50, 'min_samples_split': 32, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 478 finished with value: 0.5716666666666665 and parameters: {'n_estimators': 145, 'criterion': 'log_loss', 'max_features': 73, 'min_samples_split': 9, 'min_samples_leaf': 9}. Best is trial 13 with value: 0.6138095238095238.
Trial 479 finished with value: 0.589047619047619 and parameters: {'n_estimators': 212, 'criterion': 'log_loss', 'max_features': 228, 'min_samples_split': 30, 'min_samples_leaf': 7}. Best is trial 13 with value: 0.6138095238095238.
Trial 480 finished with value: 0.579047619047619 and parameters: {'n_estimators': 353, 'criterion': 'log_loss', 'max_features': 539, 'min_samples_split': 3, 'min_samples_leaf': 2}. Best is trial 13 with value: 0.6138095238095238.
Trial 481 finished with value: 0.5944047619047619 and parameters: {'n_estimators': 478, 'criterion': 'log_loss', 'max_features': 258, 'min_samples_split': 13, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 482 finished with value: 0.5841666666666667 and parameters: {'n_estimators': 271, 'criterion': 'log_loss', 'max_features': 96, 'min_samples_split': 20, 'min_samples_leaf': 5}. Best is trial 13 with value: 0.6138095238095238.
Trial 483 finished with value: 0.5842857142857142 and parameters: {'n_estimators': 154, 'criterion': 'log_loss', 'max_features': 85, 'min_samples_split': 65, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 484 finished with value: 0.5940476190476189 and parameters: {'n_estimators': 292, 'criterion': 'log_loss', 'max_features': 174, 'min_samples_split': 40, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 485 finished with value: 0.5966666666666667 and parameters: {'n_estimators': 425, 'criterion': 'log_loss', 'max_features': 242, 'min_samples_split': 17, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 486 finished with value: 0.5967857142857141 and parameters: {'n_estimators': 225, 'criterion': 'entropy', 'max_features': 193, 'min_samples_split': 28, 'min_samples_leaf': 5}. Best is trial 13 with value: 0.6138095238095238.
Trial 487 finished with value: 0.5916666666666666 and parameters: {'n_estimators': 462, 'criterion': 'log_loss', 'max_features': 368, 'min_samples_split': 15, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 488 finished with value: 0.5916666666666666 and parameters: {'n_estimators': 379, 'criterion': 'log_loss', 'max_features': 106, 'min_samples_split': 23, 'min_samples_leaf': 6}. Best is trial 13 with value: 0.6138095238095238.
Trial 489 finished with value: 0.5889285714285715 and parameters: {'n_estimators': 200, 'criterion': 'log_loss', 'max_features': 149, 'min_samples_split': 33, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 490 finished with value: 0.5916666666666666 and parameters: {'n_estimators': 190, 'criterion': 'log_loss', 'max_features': 77, 'min_samples_split': 26, 'min_samples_leaf': 3}. Best is trial 13 with value: 0.6138095238095238.
Trial 491 finished with value: 0.5866666666666667 and parameters: {'n_estimators': 263, 'criterion': 'entropy', 'max_features': 133, 'min_samples_split': 12, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 492 finished with value: 0.5942857142857142 and parameters: {'n_estimators': 392, 'criterion': 'log_loss', 'max_features': 331, 'min_samples_split': 18, 'min_samples_leaf': 2}. Best is trial 13 with value: 0.6138095238095238.
Trial 493 finished with value: 0.5989285714285715 and parameters: {'n_estimators': 488, 'criterion': 'log_loss', 'max_features': 218, 'min_samples_split': 14, 'min_samples_leaf': 3}. Best is trial 13 with value: 0.6138095238095238.
Trial 494 finished with value: 0.5895238095238096 and parameters: {'n_estimators': 105, 'criterion': 'log_loss', 'max_features': 299, 'min_samples_split': 36, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 495 finished with value: 0.5791666666666666 and parameters: {'n_estimators': 281, 'criterion': 'gini', 'max_features': 163, 'min_samples_split': 29, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 496 finished with value: 0.5745238095238095 and parameters: {'n_estimators': 208, 'criterion': 'log_loss', 'max_features': 266, 'min_samples_split': 54, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 497 finished with value: 0.5796428571428571 and parameters: {'n_estimators': 182, 'criterion': 'entropy', 'max_features': 99, 'min_samples_split': 21, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 498 finished with value: 0.5641666666666667 and parameters: {'n_estimators': 439, 'criterion': 'log_loss', 'max_features': 83, 'min_samples_split': 82, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 499 finished with value: 0.591547619047619 and parameters: {'n_estimators': 219, 'criterion': 'log_loss', 'max_features': 122, 'min_samples_split': 15, 'min_samples_leaf': 2}. Best is trial 13 with value: 0.6138095238095238.
